table_name,column_name,data_type,is_nullable
acesso_nivel,id_nivel,integer,NO
acesso_nivel,codigo,text,NO
acesso_nivel,descricao,text,NO
acesso_nivel,criado_em,timestamp with time zone,YES
acionamento_equipes,id_acionamento_equipe,uuid,NO
acionamento_equipes,id_acionamento,uuid,NO
acionamento_equipes,id_equipe,uuid,NO
acionamento_equipes,encarregado_nome,text,YES
acionamento_equipes,criado_em,timestamp with time zone,YES
acionamento_equipes,criado_por,uuid,YES
acionamento_equipes,papel,text,YES
acionamento_etapa_logs,id_log,uuid,NO
acionamento_etapa_logs,id_acionamento,uuid,NO
acionamento_etapa_logs,etapa_anterior,integer,YES
acionamento_etapa_logs,etapa_nova,integer,YES
acionamento_etapa_logs,motivo,text,YES
acionamento_etapa_logs,criado_em,timestamp with time zone,NO
acionamento_etapa_logs,criado_por,uuid,YES
acionamento_eventos,id_evento,uuid,NO
acionamento_eventos,id_acionamento,uuid,NO
acionamento_eventos,status_novo,text,NO
acionamento_eventos,motivo,text,YES
acionamento_eventos,timestamp,timestamp with time zone,NO
acionamento_eventos,usuario,uuid,NO
acionamento_execucao,id,uuid,NO
acionamento_execucao,id_acionamento,uuid,NO
acionamento_execucao,km_inicial,numeric,YES
acionamento_execucao,km_final,numeric,YES
acionamento_execucao,km_total,numeric,YES
acionamento_execucao,saida_base,timestamp with time zone,YES
acionamento_execucao,inicio_servico,timestamp with time zone,YES
acionamento_execucao,retorno_servico,timestamp with time zone,YES
acionamento_execucao,retorno_base,timestamp with time zone,YES
acionamento_execucao,troca_transformador,boolean,YES
acionamento_execucao,trafo_ret_potencia,text,YES
acionamento_execucao,trafo_ret_marca,text,YES
acionamento_execucao,trafo_ret_ano,text,YES
acionamento_execucao,trafo_ret_tensao_secundaria,text,YES
acionamento_execucao,trafo_ret_tensao_primaria,text,YES
acionamento_execucao,trafo_ret_numero_serie,text,YES
acionamento_execucao,trafo_ret_patrimonio,text,YES
acionamento_execucao,trafo_inst_potencia,text,YES
acionamento_execucao,trafo_inst_marca,text,YES
acionamento_execucao,trafo_inst_ano,text,YES
acionamento_execucao,trafo_inst_tensao_secundaria,text,YES
acionamento_execucao,trafo_inst_tensao_primaria,text,YES
acionamento_execucao,trafo_inst_numero_serie,text,YES
acionamento_execucao,trafo_inst_patrimonio,text,YES
acionamento_execucao,tensao_an,text,YES
acionamento_execucao,tensao_bn,text,YES
acionamento_execucao,tensao_cn,text,YES
acionamento_execucao,tensao_ab,text,YES
acionamento_execucao,tensao_bc,text,YES
acionamento_execucao,tensao_ca,text,YES
acionamento_execucao,alimentador,text,YES
acionamento_execucao,subestacao,text,YES
acionamento_execucao,numero_transformador,text,YES
acionamento_execucao,id_poste,text,YES
acionamento_execucao,os_tablet,text,YES
acionamento_execucao,ss_nota,text,YES
acionamento_execucao,numero_intervencao,text,YES
acionamento_execucao,observacoes,text,YES
acionamento_execucao,criado_em,timestamp with time zone,YES
acionamento_execucao,atualizado_em,timestamp with time zone,YES
acionamentos,id_acionamento,uuid,NO
acionamentos,origem,text,NO
acionamentos,codigo_acionamento,text,NO
acionamentos,numero_os,text,YES
acionamentos,modalidade,text,NO
acionamentos,prioridade,text,NO
acionamentos,municipio,text,YES
acionamentos,endereco,text,YES
acionamentos,data_abertura,timestamp with time zone,NO
acionamentos,data_despacho,timestamp with time zone,YES
acionamentos,data_chegada,timestamp with time zone,YES
acionamentos,data_conclusao,timestamp with time zone,YES
acionamentos,id_equipe,uuid,YES
acionamentos,id_viatura,uuid,YES
acionamentos,status,text,NO
acionamentos,criado_por,uuid,YES
acionamentos,criado_em,timestamp with time zone,YES
acionamentos,prioridade_nivel,text,YES
acionamentos,encarregado,text,YES
acionamentos,elemento_id,text,YES
acionamentos,tipo_atividade,text,YES
acionamentos,observacao,text,YES
acionamentos,email_msg,text,YES
acionamentos,etapa_atual,integer,YES
acionamentos,data_execucao,timestamp with time zone,YES
acionamentos,medicao_registrada_em,timestamp with time zone,YES
acionamentos,os_criada_em,timestamp with time zone,YES
acionamentos,book_enviado_em,timestamp with time zone,YES
acionamentos,fiscal_enviado_em,timestamp with time zone,YES
acionamentos,tci_criado_em,timestamp with time zone,YES
acionamentos,medicao_enviada_em,timestamp with time zone,YES
acionamentos,medicao_aprovada_em,timestamp with time zone,YES
acionamentos,lote_gerado_em,timestamp with time zone,YES
acionamentos,nf_emitida_em,timestamp with time zone,YES
acionamentos,nf_numero,text,YES
acionamentos,almox_conferido_em,timestamp with time zone,YES
acionamentos,almox_conferido_por,uuid,YES
acionamentos,etapa_manual,integer,YES
acionamentos,pre_lista_validada_em,timestamp with time zone,YES
acionamentos,materiais_consumidos_em,timestamp with time zone,YES
acionamentos,sucatas_enviadas_em,timestamp with time zone,YES
acionamentos,execucao_finalizada_em,timestamp with time zone,YES
acionamentos,assinatura_lider_equipe_em,timestamp with time zone,YES
acionamentos,assinatura_fiscal_em,timestamp with time zone,YES
acionamentos,assinatura_cliente_em,timestamp with time zone,YES
acionamentos,numero_obra,text,YES
acionamentos,numero_obra_atualizado_em,timestamp with time zone,YES
acionamentos,os_email_anexo_path,text,YES
acionamentos,os_email_anexo_nome,text,YES
acionamentos,book_email_anexo_path,text,YES
acionamentos,book_email_anexo_nome,text,YES
acionamentos,book_email_msg,text,YES
acionamentos,book_email_msg_name,text,YES
acionamentos,tci_numero,text,YES
acionamentos,medicao_aprovacao_status,text,YES
codigos_mao_de_obra,codigo_mao_de_obra,text,NO
codigos_mao_de_obra,operacao,text,NO
codigos_mao_de_obra,descricao,text,YES
codigos_mao_de_obra,unidade,text,YES
codigos_mao_de_obra,ups,numeric,YES
codigos_mao_de_obra,ativo,boolean,YES
codigos_mao_de_obra,tipo,text,NO
codigos_mao_de_obra,raw_line,jsonb,YES
codigos_mao_de_obra,created_at,timestamp with time zone,YES
codigos_mo,codigo_mao_de_obra,text,NO
codigos_mo,operacao,text,NO
codigos_mo,descricao,text,YES
codigos_mo,unidade,text,YES
codigos_mo,ups,numeric,YES
