codigo_mao_de_obra;descricao;unidade;operacao;ups;tipo
6665;ABERTURA FAIXA COM PLANTACAO GRAMINEAS;HEC;INSTALAR;7.15; LM 
6671;ABERTURA FAIXA VEGETACAO DENSA C/TRATOR;HEC;INSTALAR;66; LM 
6252;SERV AB/FEC VAL ATER EM TERRA;M.LINEAR;INSTALAR;0.18; LM 
6224;ABRIR CAVA EM TERRA NORMAL;UN;INSTALAR;1.5; LM 
6345;ABRIR CAVA ROCHA SEM USO EXPLOSIVO LM;UN;INSTALAR;4; LM 
6344;ABRIR CAVA ROCHA USO EXPLOS EQUIP LM;UN;INSTALAR;14.2; LM 
7801;ABERT DE FAIXA CERRADO/MATA LM;HEC;INSTALAR;12; LM 
6294;ABER-FECH VALETA RECOM PISO CALCADA LM;M.LINEAR;INSTALAR;0.5; LM 
6343;SERV OFIC APRUMAR PST LM;UN;INSTALAR;1; LM 
6864;ARRASTAR PST LOC DIS A PT INS LM;UN;INSTALAR;2; LM 
7049;SERV TEC DE LM ATERRAR CERCA LM;UN;INSTALAR;0.5; LM 
6315;INST SERV TEC COM BALANC CARGA REDE BT;CONS;INSTALAR;0.5; LM 
92320;CAVALO MEC¶NICO COM CARRETA 2 EIXOS CAPACIDADE DE 24 TON;KM;INSTALAR;0.15; LM 
6316;CONFECC BASE CONC TOTAL / SOLO CIMENTO;UN;INSTALAR;2.5; LM 
6225;CONFECC BASE CONC SIMPLES;UN;INSTALAR;14; LM 
6657;CONST CXS PASS LM;UN;INSTALAR;3; LM 
6500;DESAT CABO AL NU CA/CAA >2/0AWG LM;KM;RETIRAR;10; LM 
6628;DESAT CH SECCIONADORA  =>15KV BY PASS LM;PE€;RETIRAR;0.3; LM 
6352;DESAT CONECTOR NA BT LM;UN;RETIRAR;0.1; LM 
6287;DESAT EST PRI N4/N4E/M4/B4/B4E C/CHAV LM;UN;RETIRAR;2; LM 
6366;DESAT EST PRIM CE-1/CE-1A/CE-2 LM;UN;RETIRAR;0.5; LM 
6368;DESAT EST PRIM CE3/CE4 LM;UN;RETIRAR;2; LM 
6284;DESAT EST PRIM N3/N3-E/M3/B3/B3-E LM;UN;RETIRAR;2; LM 
6537;DESAT EST PRIM N3-1/M3-1/B3-1 LM;UN;RETIRAR;2; LM 
6285;DESAT EST PRIM N3-2/M3-2/N2-3/M2-3 LM;UN;RETIRAR;2; LM 
6538;DESAT EST PRIM N3-CE LM;UN;RETIRAR;2; LM 
6286;DESAT EST PRIM N3-N3/M3-M3 LM;UN;RETIRAR;2; LM 
6369;DESAT ISOLADOR CADEIA LM;UN;RETIRAR;0.5; LM 
6371;DESAT ISOLADOR PINO FIM DE REDE LM;UN;RETIRAR;0.5; LM 
6372;DESAT ISOLADOR PINO TANGENTE LM;UN;RETIRAR;0.5; LM 
6363;DESAT AFASTADOR 500MM LM;UN;RETIRAR;0.05; LM 
7100;DESAT AMARRA€ÇO DE MT / BT NO POSTE LM;UN;RETIRAR;0.06; LM 
6532;DESAT BANCO CAPACITOR 300KVAR LM;UN;RETIRAR;3; LM 
6360;DESAT BANCO CAPACITOR 600KVAR LM;UN;RETIRAR;3; LM 
6361;DESAT BANCO CAPACITOR 900KVAR LM;UN;RETIRAR;3; LM 
6468;DESAT CABO AL CA PROTEGIDO  =<95MM2 LM;KM;RETIRAR;16; LM 
6467;DESAT CABO AL CA PROTEGIDO > 95MM2 LM;KM;RETIRAR;20; LM 
6887;DESAT CB AL MULT TODOS LM;KM;RETIRAR;20; LM 
6604;DESAT CABO AL NU  =<2/0AWG LM;KM;RETIRAR;8; LM 
